Month,SBSTransit Ridership,Total Passengers,Average daily number of taxi trips(One-Shift),Average engaged mileage per trip (km)(One-Shift),Average daily number of taxi trips(Two-Shift),Average engaged mileage per trip (km)(Two-Shift)
2016-01-01,875831,4860156.0,18.9,10.1,28.6,9.6
2016-02-01,859465,4602026.0,18.6,10.4,28.2,9.9
2016-03-01,880966,4902767.0,19.1,10.2,28.8,9.8
2016-04-01,879413,4793662.0,19.1,10.2,28.7,9.7
2016-05-01,886145,4781918.0,18.7,10.2,28.4,9.9
2016-06-01,882270,4838307.0,18.6,10.1,28.2,9.5
2016-07-01,924305,5181108.0,18.9,10.2,28.5,9.7
2016-08-01,931257,4923309.0,18.7,9.9,28.2,9.4
2016-09-01,931944,4584383.0,18.4,10.0,27.9,9.4
2016-10-01,924299,4768937.0,18.4,9.9,27.9,9.4
2016-11-01,903336,4784818.0,18.6,9.9,27.8,9.3
2016-12-01,908271,5676648.0,18.3,9.9,27.5,9.4
2017-01-01,934363,5256301.0,18.0,10.0,27.2,9.4
2017-02-01,948224,4669729.0,18.4,9.9,27.7,9.3
2017-03-01,955433,5112576.0,18.1,10.0,27.2,9.3
2017-04-01,937046,5168548.0,17.5,10.2,25.6,10.1
2017-05-01,925537,5003578.0,17.1,10.2,25.2,10.0
2017-06-01,919224,5208779.0,17.6,10.2,25.9,10.2
2017-07-01,970856,5415734.0,17.8,10.4,26.0,10.3
2017-08-01,974022,5265703.0,17.7,10.3,25.9,10.1
2017-09-01,949122,4927561.0,18.0,10.3,26.3,10.2
2017-10-01,1010020,5155327.0,17.5,10.4,25.9,10.3
2017-11-01,1102296,5173747.0,17.6,10.7,25.7,10.4
2017-12-01,1079944,5861990.0,17.3,10.8,25.7,10.5
2018-01-01,1142026,5303639.0,17.0,10.6,25.0,10.3
2018-02-01,1141750,4932345.0,17.4,10.7,25.6,10.5
2018-03-01,1144294,5555117.0,17.2,10.7,25.0,10.4
2018-04-01,1149121,5430745.0,17.1,10.4,25.3,10.2
2018-05-01,1146071,5294980.0,16.9,10.2,25.0,10.0
2018-06-01,1140105,5565775.0,17.2,10.3,25.5,10.1
2018-07-01,1222488,5723094.0,17.3,10.2,25.5,10.0
2018-08-01,1212155,5682688.0,17.1,10.2,25.5,9.9
2018-09-01,1210267,5225903.0,17.1,10.3,25.9,10.0
2018-10-01,1221798,5376234.0,17.2,10.2,25.6,10.0
2018-11-01,1182284,5408993.0,17.3,10.3,25.8,10.1
2018-12-01,1152919,6127843.0,17.0,10.5,26.0,10.3
2019-01-01,1250833,5656076.0,17.0,10.3,25.8,10.1
2019-02-01,1186795,5131807.0,17.2,10.6,25.9,10.3
2019-03-01,1217877,5630780.0,16.7,10.4,25.7,10.2
2019-04-01,1213490,5580503.0,16.7,10.4,25.2,10.2
2019-05-01,1201397,5407308.0,16.4,10.4,24.9,10.1
2019-06-01,1167470,5816089.0,16.7,10.5,25.5,10.3
2019-07-01,1273328,5910782.0,15.6,10.5,24.4,10.4
2019-08-01,1238783,5900629.0,16.5,10.5,25.2,10.1
2019-09-01,1236770,5469342.0,16.6,10.5,25.2,10.2
2019-10-01,1241812,5646643.0,16.4,10.6,25.0,10.2
2019-11-01,1213402,5718386.0,15.7,10.8,25.7,10.3
2019-12-01,1170724,6414495.0,16.1,10.6,24.2,10.3
2020-01-01,1195131,5950940.0,16.2,10.5,24.3,10.4
2020-02-01,1016292,3446022.0,14.4,10.2,22.3,10.0
2020-03-01,923319,1649662.0,13.3,9.7,20.1,9.8
2020-04-01,288664,25189.0,8.0,9.3,11.3,9.6
2020-05-01,195515,24504.0,7.5,9.6,10.4,9.8
2020-06-01,421444,48241.0,11.3,9.3,15.8,9.7
2020-07-01,628983,85981.0,12.8,9.7,21.2,9.8
2020-08-01,685186,84300.0,14.2,9.6,21.8,9.7
2020-09-01,735858,90200.0,14.4,9.7,21.9,9.8
2020-10-01,776078,98300.0,14.7,9.6,22.5,9.8
2020-11-01,795843,111000.0,15.1,9.8,23.8,9.8
2020-12-01,850271,152000.0,,,,
