,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16
Average daily number of taxi trips(One-Shift),18.9,18.6,19.1,19.1,18.7,18.6,18.9,18.7,18.4,18.4,18.6,18.3
Average engaged mileage per trip (km)(One-Shift),10.1,10.4,10.2,10.2,10.2,10.1,10.2,9.9,10,9.9,9.9,9.9
Average daily number of taxi trips(Two-Shift),28.6,28.2,28.8,28.7,28.4,28.2,28.5,28.2,27.9,27.9,27.8,27.5
Average engaged mileage per trip (km)(Two-Shift),9.6,9.9,9.8,9.7,9.9,9.5,9.7,9.4,9.4,9.4,9.3,9.4
Comfort,12625,12567,12676,12775,12745,12738,12707,12655,12591,12470,12502,12558
CityCab,4351,4329,4348,4368,4372,4343,4337,4323,4281,4252,4253,4263
Trans-Cab,4842,4847,4839,4706,4685,4718,4698,4674,4593,4585,4570,4566
SMRT,3507,3529,3509,3522,3555,3577,3512,3438,3434,3404,3392,3407
Premier,1984,2001,1986,1962,1937,1917,1905,1916,1938,1953,1914,1889
Prime,795,789,780,800,773,759,759,754,743,742,738,731
HDTT,,,,,,,,,,,,
Individual Yellow-Top Total,154,150,148,147,144,141,136,130,128,126,126,120
No. of TDVL issued,310,337,325,399,187,371,210,362,392,246,203,242
Total No. of valid TDVL holders,99587,99638,99811,100031,99974,100129,100159,100330,100513,100481,100389,100411
