,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17
Average daily number of taxi trips(One-Shift),18,18.4,18.1,17.5,17.1,17.6,17.8,17.7,18,17.5,17.6,17.3
Average engaged mileage per trip (km)(One-Shift),10,9.9,10,10.2,10.2,10.2,10.4,10.3,10.3,10.4,10.7,10.8
Average daily number of taxi trips(Two-Shift),27.2,27.7,27.2,25.6,25.2,25.9,26,25.9,26.3,25.9,25.7,25.7
Average engaged mileage per trip (km)(Two-Shift),9.4,9.3,9.3,10.1,10,10.2,10.3,10.1,10.2,10.3,10.4,10.5
Comfort,12317,12158,11948,11812,11688,11594,11539,11306,11063,10669,10182,9825
CityCab,4178,4144,4099,4051,3999,3962,3933,3821,3760,3637,3513,3419
Trans-Cab,4556,4550,4549,4552,4462,4303,4207,4057,3947,3833,3734,3686
SMRT,3410,3396,3396,3356,3334,3158,2938,2921,2908,2973,3170,3380
Premier,1907,1926,1923,1897,1884,1891,1925,1959,2001,2051,2062,2055
Prime,720,704,713,708,710,702,696,711,702,698,694,691
HDTT,,,,,,,,,,,,
Individual Yellow-Top Total,114,108,106,100,95,89,87,88,87,83,84,84
No. of TDVL issued,166,127,235,110,194,133,95,152,141,69,102,77
Total No. of valid TDVL holders,100271,100151,99949,99305,98839,98369,97854,97467,97170,96805,96510,96085
