,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20
Average daily number of taxi trips(One-Shift),16.2,14.4,13.3,8,7.5,11.3,12.8,14.2,14.4,14.7,15.1
Average engaged mileage per trip (km)(One-Shift),10.5,10.2,9.7,9.3,9.6,9.3,9.7,9.6,9.7,9.6,9.8
Average daily number of taxi trips(Two-Shift),24.3,22.3,20.1,11.3,10.4,15.8,21.2,21.8,21.9,22.5,23.8
Average engaged mileage per trip (km)(Two-Shift),10.4,10,9.8,9.6,9.8,9.7,9.8,9.7,9.8,9.8,9.8
Comfort,8106,8121,7988,7685,7588,7537,7459,7552,7417,7361,7151
CityCab,2695,2702,2651,2597,2571,2554,2467,2516,2456,2441,2400
Trans-Cab,2821,2711,2498,2373,2328,2327,2314,2352,2397,2406,2436
SMRT,2462,2462,2457,2454,1698,1698,1698,1698,1698,1697,1727
Premier,1576,1560,1524,1446,1334,1311,1306,1311,1310,1292,1291
Prime,672,675,665,665,665,658,651,647,645,641,622
HDTT,129,129,129,129,129,129,129,129,129,117,88
Individual Yellow-Top Total,67,65,65,65,65,63,62,59,58,57,57
No. of TDVL issued,226,90,181,15,202,156,69,59,775,1367,
Total No. of valid TDVL holders,101387,101409,101068,100517,99280,98360,97967,96961,98458,98873,98141
